lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source,population_density,ptal_score,ptal_category,accessibility_index,road_density_km_per_sqkm,building_density,gvi_z,imd_z,pop_density_z,ptal_z,road_density_z,building_density_z,log_pop_density,log_building_density,pop_density_tertile,pop_density_cat,ptal_cat_simple,building_density_tertile,building_density_cat
E01000912,NA,Camden,22.316,Q3,100,38.59564209,38.52539063,24.19951248,0.006103516,94.42749023,17.93518066,55.21697998,completed,measured,1771.2,2,Poor,6.57074487295,0.9472098488189,8.351493221,2.1281498537538224,-0.20372559810007906,-1.8974633418015965,-1.2874476166464521,-1.7165002647643903,-2.167737825357451,7.479976991613202,2.235536033330213,1,Low,Poor,1,Low
E01000915,NA,Camden,23.058,Q3,100,13.26422119,15.234375,8.540571213,0,29.38232422,5.110168457,19.25506592,completed,measured,20647.8,6.5,Excellent,42.1473546686,2.5480833579414996,53.77105112,-0.3215906619714929,-0.1320537996240549,1.0319838166629363,1.6130324117221533,-1.532362428534431,2.588705018257092,9.935412485320501,4.003161790139684,3,High,Good,3,High
E01000919,NA,Camden,21.741,Q3,100,5.297363281,0.833129883,7.933811665,0,33.203125,0,9.101867676,completed,measured,9424.1,6.5,Excellent,78.3685527574,28.1323483548651,46.84136475,-1.0920462427993325,-0.25926641228298175,-0.709814816165983,1.6130324117221533,1.410425475207822,1.863011976145701,9.1511316223395,3.867890636618421,1,Low,Good,3,High
E01000922,NA,Camden,21.717,Q3,80,7.728042603,2.80456543,10.25261307,0,44.40917969,0.152587891,12.20550537,completed,measured,10047.1,5,Very Good,22.7197522013,6.7094658159675,38.55761369,-0.8569811179748841,-0.26158463757061606,-0.6131318552660643,0.6462057355992847,-1.053706271642816,0.995518097512222,9.215138840887755,3.677758183650984,1,Low,Good,3,High
E01000929,NA,Camden,25.374,Q3,80,24.38453674,24.31335449,14.90096664,0,48.19946289,10.39581299,37.5793457,completed,measured,19600.8,5,Very Good,20.6628453943,6.1982892212603,23.90990992,0.7538281887130832,0.09165494063264555,0.8695005741874711,0.6462057355992847,-1.1125035167370716,-0.5384238648276664,9.883376677736567,3.215265713049164,3,High,Good,1,Low
E01000930,NA,Camden,30.755,Q4,100,9.601135254,0.408935547,13.19237423,0,48.77319336,0.035095215,18.98956299,completed,measured,17943.2,5,Very Good,23.538499055,24.8893708649894,30.5003812,-0.6758388529998449,0.6114203686642974,0.6122587186694856,0.6462057355992847,1.0374073357200477,0.1517457758700767,9.795022221924823,3.4499996473456656,3,High,Good,2,Medium
E01000937,NA,Camden,14.324,Q1_Least,100,17.94592285,17.73071289,12.41952229,0,53.84521484,8.728027344,23.25592041,completed,measured,8909.2,6.5,Excellent,48.127717099,7.505262053933,19.21680811,0.13116539479753195,-0.9756946188822684,-0.7897218090510039,1.6130324117221533,-0.9621711212990377,-1.029896515622016,9.094951966902045,3.006514343070105,1,Low,Good,1,Low
E01000949,NA,Camden,19.618,Q2,100,15.22692871,14.6697998,11.14849567,0,39.10522461,5.534362793,24.9206543,completed,measured,25723.5,5,Very Good,24.4156671298,9.5920283749253,29.45160012,-0.13178195952074517,-0.46433275751829073,1.8196783666464307,0.6462057355992847,-0.7221442654135439,0.04191495643371738,10.155199124167396,3.416138541872131,3,High,Good,2,Medium
E01000960,NA,Camden,16.477,Q2,100,8.358764648,0.073242188,17.89107323,0,72.21679688,0,4.989624023,completed,measured,16449.3,6,Excellent,36.863477296,10.7214955677799,30.88061224,-0.7959855127975358,-0.7677304920374168,0.3804213586560207,1.2907568530145304,-0.5922291635645791,0.1915644639592433,9.70809899310929,3.4619980582545486,3,High,Good,2,Medium
E01000969,NA,Camden,6.278,Q1_Least,80,10.13130188,5.975341797,11.05481052,0,38.43994141,1.675415039,14.91394043,completed,measured,10971.2,6,Excellent,27.2614510784,16.174554685982198,23.74732953,-0.6245677194568549,-1.752879646561635,-0.46972138308690725,1.2907568530145304,0.03499997174052837,-0.5554496653483844,9.303120080108643,3.2087175854155374,1,Low,Good,1,Low
E01001583,NA,Greenwich,13.467,Q1_Least,100,15.67956543,12.33520508,13.80564785,0,60.01586914,5.02166748,24.22790527,completed,measured,5337,2,Poor,9.93252186568,7.028785617930399,19.9593724,-0.0880085558784324,-1.058474580194873,-1.3440891813249838,-1.2874476166464521,-1.0169770378440421,-0.952133438074051,8.58260632996447,3.042585916256457,1,Low,Poor,1,Low
E01001585,NA,Greenwich,12.942,Q1_Least,80,20.20751953,19.28100586,13.93241596,0.079345703,49.28588867,8.227539063,29.7744751,completed,measured,8532.4,3,Moderate,11.4319099963,18.418498914323003,21.41190473,0.34987894580981893,-1.1091857583618712,-0.8481971536209709,-0.6428964992312065,0.2931059572995273,-0.800020838882517,9.051743154269026,3.109592278846243,1,Low,Moderate,1,Low
E01001586,NA,Greenwich,24.143,Q3,100,26.24456787,26.68151855,11.141851429999999,1.397705078,52.45361328,18.26324463,35.20812988,completed,measured,6657.3,3,Moderate,13.6058647243,19.3994357482449,16.0323516,0.93370730554822845,-0.027250698078925238,-1.1391926913150918,-0.6428964992312065,0.4059365994753998,-1.363380285135429,8.803619475696012,2.835114570872703,1,Low,Moderate,1,Low
E01001595,NA,Greenwich,23.247,Q3,100,19.92193604,19.00634766,11.61851978,0.274658203,62.43896484,12.7532959,23.60839844,completed,measured,6007,2,Poor,9.73684588034,10.6090286439597,13.27220815,0.322260856448111,-0.11379777548393555,-1.240112321288153,-1.2874476166464521,-0.6051654860670619,-1.65242899382819,8.700847193443972,2.658314160232422,1,Low,Poor,1,Low
E01001596,NA,Greenwich,9.357,Q1_Least,100,12.43139648,7.971191406,13.44488907,0.823974609,81.51245117,4.792785645,13.88092041,completed,measured,5932.4,1.5,Very Poor,4.64027771897,16.820479514949398,17.79620726,-0.40213112761052017,-1.4554706607022303,-1.2516894463012092,-1.609723175354075,0.10929641033823773,-1.178665175185829,8.688352683504,2.93365510799399,1,Low,Poor,1,Low
E01001608,NA,Greenwich,14.25,Q1_Least,80,9.822387695,9.051513672,6.94609499,0.018310547,37.109375,6.239318848,11.89422607,completed,measured,3061.3,2,Poor,7.8850431789,10.1360692335223,12.84465874,-0.6544420639661582,-0.9828424801858072,-1.697253569960529,-1.2874476166464521,-0.6595668625445027,-1.6972029728265832,8.026921546597995,2.627899507709537,1,Low,Poor,1,Low
E01001609,NA,Greenwich,21.984,Q3,100,11.0413208,3.3203125,17.04259491,0,66.70532227,0.682067871,11.17858887,completed,measured,5020.8,4,Good,18.8067886253,13.5953732630392,25.87471563,-0.5365619882662847,-0.23579438124568528,-1.393160051688634,0.0016546181840391264,-0.26166611946459517,-0.33266479338967136,8.521543714153495,3.291185905182543,1,Low,Moderate,2,Medium
E01001631,NA,Greenwich,34.131,Q5_Most,100,7.81072998,5.187988281,7.400853634,0.054931641,35.24780273,2.062988281,10.49041748,completed,measured,10700.5,6,Excellent,25.9389205124,12.2707420471407,21.5771089,-0.8489846215140023,0.9375173924581753,-0.5117311383286537,1.2907568530145304,-0.4140296413220426,-0.7827202699540582,9.278139197540618,3.116936512437138,1,Low,Good,1,Low
E01001640,NA,Greenwich,30.555,Q4,100,3.850280762,0.87890625,6.055476665,0,26.01928711,0.028991699,3.910827637,completed,measured,8561.903597122302,2.60546875,Moderate,10.69317001786039,26.5627158937714,21.230044442057554,-1.2319900971289623,0.5921018246006791,-0.8436185097574356,-0.8971920572739401,1.2298810890242382,-0.8190656756254253,9.055194616889983,3.1014447271669794,1,Low,Moderate,1,Low
E01001645,NA,Greenwich,27.85,Q4,100,31.81121826,30.2154541,16.75695038,1.434326172,61.05957031,16.81671143,48.90136719,completed,measured,6386.2,1.5,Very Poor,4.58447818144,9.3990594807779,16.48761855,1.4720446160013159,0.33081851614024105,-1.1812645222941738,-1.609723175354075,-0.7443401943395369,-1.3157036602092889,8.76205126667709,2.86149311909657,1,Low,Poor,1,Low
E01001648,NA,Greenwich,19.236,Q2,100,21.23773193,19.59838867,11.45906544,0.634765625,51.51367188,12.90435791,28.39050293,completed,measured,4131.1,1.5,Very Poor,4.51251283534,9.2241152483789,42.99184904,0.4495082980694316,-0.5012311766798015,-1.531232010456945,-1.609723175354075,-0.7644628662628912,1.4598816442537128,8.326541031301957,3.7840043676666197,1,Low,Poor,3,High
E01001650,NA,Greenwich,31.966,Q4,100,12.8104248,10.92529297,10.83045673,0.140380859,50.17089844,4.139709473,19.67926025,completed,measured,8808.8,2,Poor,7.02865124401,25.7815474123936,19.68836951,-0.3654762144977978,0.7283941529695067,-0.8053028191221949,-1.2874476166464521,1.1400284722670353,-0.9805134975983145,9.083620017196948,3.029571682948881,1,Low,Poor,1,Low
E01001660,NA,Greenwich,33.571,Q4,100,30.00811768,31.00585938,15.4003315,0.183105469,86.38916016,21.01593018,39.46838379,completed,measured,4655.1,1.5,Very Poor,4.04123434792,5.540784590768699,10.23793974,1.297671115115157,0.8834254690800437,-1.449912794547543,-1.609723175354075,-1.1881319029149768,-1.9701847125527867,8.445933466843861,2.419295530511544,1,Low,Poor,1,Low
E01001666,NA,Greenwich,25.344,Q3,100,6.608703613,4.022216797,7.417231083,0,28.08227539,0.549316406,10.20812988,completed,measured,4564.1,3,Moderate,11.9713627224,15.8898132604618,33.4711837,-0.9652296874277746,0.08875715902310304,-1.4640350247913514,-0.6428964992312065,0.0022480586870749805,0.4628551953483383,8.426195698594178,3.5401237199449715,1,Low,Moderate,3,High
E01001705,NA,Greenwich,32.594,Q4,100,7.992614746,4.437255859,9.603225708,0,50.86669922,1.406860352,12.14141846,completed,measured,12772.7,4,Good,16.2305929071,5.3098654416115005,26.18143832,-0.8313949852191262,0.7890543813292684,-0.19014778106250368,0.0016546181840391264,-1.2146929973597056,-0.3005440724643621,9.455143648641432,3.3025343256451687,2,Medium,Moderate,2,Medium
E01001710,NA,Greenwich,33.511,Q4,100,10.71307373,8.435058594,9.700984955,0,46.08154297,2.597045898,17.19360352,completed,measured,20453.5,3,Moderate,14.943546489,24.4792148638145,19.08665081,-0.568305969376603,0.8776299058609587,1.0018305272522554,-0.6428964992312065,0.9902298178570207,-1.043526893960481,9.925958186163495,3.000055455621188,3,High,Moderate,1,Low
E01001715,NA,Hackney,28.349,Q4,100,10.07629395,5.990600586,12.96359062,0,72.11914063,3.060913086,9.771728516,completed,measured,16810.5,6,Excellent,30.4643099418,25.5277073697214,27.18609741,-0.6298874034706001,0.3790182835789687,0.43647574946990625,1.2907568530145304,1.11083093983251,-0.19533381151182222,9.729818455021313,3.3388288567343967,3,High,Good,2,Medium
E01001719,NA,Hackney,35.72,Q5_Most,100,25.36968994,24.50561523,16.73135567,0,67.30957031,12.67242432,34.41619873,completed,measured,25801.9,3,Moderate,13.2904491372,32.710323104797695,24.21284289,0.8490999746015898,1.091003225043623,1.8318452111641734,-0.6428964992312065,1.9369994736931826,-0.5067000122869721,10.158242167693729,3.227353503187851,3,High,Moderate,1,Low
E01001799,NA,Hackney,26.539,Q3,100,7.443969727,1.751708984,9.447746277,0,32.21435547,0,14.40582275,completed,measured,14207.5,3,Moderate,10.4982467955,5.964976106839,30.07707012,-0.8844531195062239,0.20418545980322272,0.032517888759652294,-0.6428964992312065,-1.1393399730896772,0.10741564474977623,9.56159565605419,3.436470252072578,2,Medium,Moderate,2,Medium
E01001830,NA,Hackney,32.425,Q4,100,7.229064941,4.022216797,7.984323502,0,30.17578125,0.016784668,12.39471436,completed,measured,18197.7,4,Good,16.3833468393,10.4936514701821,30.97985364,-0.9052360421604945,0.7727302115955105,0.6517544065491473,0.0016546181840391264,-0.6184365552731352,0.20195725659430067,9.809105441942316,3.465106130784954,3,High,Moderate,2,Medium
E01001835,NA,Hackney,21.313,Q3,66,8.532714844,2.185058594,12.78282547,0,57.8125,0.34942627,12.08343506,completed,measured,16844.3,4,Good,16.8687563556,2.8330041414039,45.88356323,-0.7791632095978145,-0.30060809657912513,0.4417211492747492,0.0016546181840391264,-1.4995898851293836,1.7627087500434624,9.73182696512107,3.8476671498462065,3,High,Moderate,3,High
E01001836,NA,Hackney,26.182,Q3,100,20.50964355,16.86401367,19.89351082,0.006103516,85.13793945,3.733825684,30.57098389,completed,measured,14074.4,2,Poor,6.34653597078,29.323462369892297,36.70833999,0.37909662986668946,0.1697018586496637,0.01186218716129081,-1.2874476166464521,1.5474314011479022,0.8018578096730213,9.552183871787022,3.6298812898823516,2,Medium,Poor,3,High
E01001851,NA,Hammersmith and Fulham,13.267,Q1_Least,100,15.87878418,16.20788574,9.686253548,0.067138672,37.29858398,8.17565918,23.67248535,completed,measured,14783,5,Very Good,21.9524380812,31.0861117454846,45.66438247,-0.06874259186900121,-1.0777931242584915,0.12182935585098965,0.6462057355992847,1.7501772397192115,1.7397556257599045,9.601300793881466,3.8429811856718192,2,Medium,Good,3,High
E01001866,NA,Hammersmith and Fulham,14.104,Q1_Least,100,11.19445801,8.111572266,10.32594013,0,42.66357422,2.25982666,17.3538208,completed,measured,10053.4,5,Very Good,22.3245041542,16.6031369967477,47.86004601,-0.5217524586594343,-0.9969450173522487,-0.6121541624030316,0.6462057355992847,0.08429694548709805,1.969690671694121,9.215765628621247,3.8889600074992288,1,Low,Good,3,High
E01001888,NA,Hammersmith and Fulham,10.795,Q1_Least,100,5.536804199,1.889038086,8.670091629,0,57.98339844,0.260925293,6.771850586,completed,measured,15826.5,3,Moderate,11.2537237694,23.4142581104859,36.79924063,-1.068890490097475,-1.3165703288848143,0.2837694356247699,-0.6428964992312065,0.8677349229643639,0.8113771383192719,9.669504212418282,3.632289013270313,2,Medium,Moderate,3,High
E01001890,NA,Hammersmith and Fulham,13.675,Q1_Least,100,17.88336182,18.64013672,12.56244373,0,48.27880859,8.276367188,26.46636963,completed,measured,13134.1,5,Very Good,23.2552017428,2.9459559172108,67.1802494,0.12511526873071896,-1.03838329436871,-0.13406235237995062,0.6462057355992847,-1.4865977933264445,3.9929477750743843,9.48304331533771,4.222154924667279,2,Medium,Good,3,High
E01001911,NA,Hammersmith and Fulham,34.648,Q5_Most,100,6.535644531,2.459716797,8.664039612,0,42.21191406,1.373291016,8.258056641,completed,measured,10947.5,5,Very Good,22.2291908137,5.5937154173655,29.4214127,-0.9722950547407112,0.9874558288626291,-0.4733993705240311,0.6462057355992847,-1.1820436218460124,0.03875365886790962,9.300957739559797,3.4151467255950596,1,Low,Good,2,Medium
E01001958,NA,Hammersmith and Fulham,38.666,Q5_Most,100,14.61907959,11.0534668,12.29033756,0,57.56225586,4.922485352,22.77832031,completed,measured,37912.1,4,Good,17.6436175998,4.56704190319,21.01844229,-0.19056557938124724,1.3755653791007212,3.7112191968627193,0.0016546181840391264,-1.3001350502677984,-0.8412251502747757,10.543051977786543,3.0918803881020116,3,High,Moderate,1,Low
E01001959,NA,Hammersmith and Fulham,40.084,Q5_Most,100,11.7822876,8.679199219,11.6868906,0,53.66210938,2.429199219,17.48199463,completed,measured,10423.3,4,Good,18.469741773,21.1356112967308,19.05372822,-0.4649048791789954,1.5125338565117759,-0.5547496243021007,0.0016546181840391264,0.6056373297278318,-1.0469746249566076,9.251894898129615,2.9984150826014018,1,Low,Moderate,1,Low
E01001961,NA,Hammersmith and Fulham,41.84,Q5_Most,100,20.64276123,16.04309082,18.08210945,0,87.01171875,9.309387207,27.70996094,completed,measured,22340.4,4,Good,16.3580986072,1.0416066020233998,29.22698178,0.3919701190934766,1.682150673390345,1.2946572991977716,0.0016546181840391264,-1.7056424338469829,0.018392395993711487,10.014196738519983,3.408734961927906,3,High,Moderate,2,Medium
E01002701,NA,Islington,27.789,Q4,100,4.575195313,0.244140625,7.112375736,0,22.87597656,0,8.465576172,completed,measured,17732.2,6,Excellent,30.3352104723,7.7431169779636,45.31995308,-1.1618853622609897,0.3249263602008374,0.5795137672250508,1.2907568530145304,-0.9348122507836272,1.703686170596139,9.783193867836367,3.8355728203108588,3,High,Good,3,High
E01002706,NA,Islington,24.912,Q3,100,10.4284668,6.750488281,11.68784618,0,44.6105957,0.268554688,18.57910156,completed,measured,14963.3,6.5,Excellent,40.9838096845,18.0272941692752,31.06503301,-0.5958296179800335,0.047029103845687176,0.14980999445493068,1.6130324117221533,0.24810827642999,0.2108774404006034,9.613422643382552,3.4677661220716827,2,Medium,Good,2,Medium
E01002707,NA,Islington,25.684,Q3,100,20.14453125,20.30029297,16.10783577,0,63.77563477,2.433776855,27.90679932,completed,measured,15328.3,5,Very Good,24.3821194943,24.7839366141198,43.10172596,0.3437875014277216,0.12159868393125421,0.2064541047735026,0.6462057355992847,1.025279934829833,1.4713882135376894,9.637521308722858,3.7864989191019176,2,Medium,Good,3,High
E01002723,NA,Islington,28.536,Q4,100,33.15722656,37.6953125,17.53923988,1.135253906,67.02880859,18.12133789,45.87249756,completed,measured,16000,6,Excellent,32.933055402,13.676780110663,43.63057626,1.602213826801984,0.397081122278452,0.31069478669400885,1.2907568530145304,-0.25230243102179983,1.5267706598039434,9.680406499268875,3.7984191905004594,2,Medium,Good,3,High
E01002725,NA,Islington,29.084,Q4,100,20.1015625,10.9161377,20.37681007,0,68.75610352,3.219604492,32.48596191,completed,measured,22278.7,6.5,Excellent,45.2252151826,8.8683936896936,35.17953421,0.3396320974256874,0.4500139330127661,1.285082116713783,1.6130324117221533,-0.8053791521177055,0.6417576755473732,10.011431228959543,3.5884936056443637,3,High,Good,3,High
E01002727,NA,Islington,26.051,Q3,100,34.05657959,31.94885254,25.08612251,0,92.66357422,12.07122803,51.80969238,completed,measured,13074.3,6,Excellent,25.3913673298,7.100713811301899,29.913219,1.6891880855389396,0.15704821228799365,-0.1433426751115963,1.2907568530145304,-1.008703615980364,0.09025677039711831,9.478480233220571,3.4311838917763966,2,Medium,Good,2,Medium
E01002728,NA,Islington,27.235,Q3,100,17.16760254,9.1796875,17.42246437,0,71.02661133,1.817321777,30.35736084,completed,measured,14472.5,6.5,Excellent,56.0891868847,21.0546891419434,30.46930527,0.05589591800245478,0.2714139931446144,0.0736430647443689,1.6130324117221533,0.5963293922794916,0.1484914314489827,9.580074670128548,3.4490126348872936,2,Medium,Good,2,Medium
E01002730,NA,Islington,30.4,Q4,100,6.87487793,2.017211914,10.52311611,0,47.88818359,0.442504883,7.891845703,completed,measured,12432.6,6,Excellent,35.0736137402,17.6718155448062,30.90684849,-0.9394886122952535,0.5771299529513748,-0.24292767673194568,1.2907568530145304,0.20721993368291092,0.19431198571701297,9.428157764454978,3.4628206729559095,2,Medium,Good,2,Medium
E01002735,NA,Islington,33.51,Q4,100,9.826171875,5.444335938,13.30327225,0,63.31176758,1.46484375,11.96594238,completed,measured,27287.8,6.5,Excellent,43.980769381,23.0773739830945,37.87666795,-0.654076105060758,0.8775333131406401,2.0624410564309295,1.6130324117221533,0.8289853815892498,0.9242078593299143,10.21423164058461,3.6603942750452227,3,High,Good,3,High
E01002738,NA,Islington,24.682,Q3,100,24.30200195,20.5657959,18.69041061,0,84.11254883,11.5814209,32.2479248,completed,measured,7339.3,4,Good,18.0280354709,12.072500414557,27.14682628,0.7458464485723285,0.024812778172526025,-1.0333535591581986,0.0016546181840391264,-0.4368320582941768,-0.19944637653644273,8.90113499270793,3.3374346050680774,1,Low,Moderate,2,Medium
E01002742,NA,Islington,15.801,Q2,100,8.082458496,4.901123047,9.029076576,0,38.79394531,1.095581055,12.28485107,completed,measured,18709.1,5,Very Good,23.1808375844,17.4093051538298,35.76664861,-0.8227064132148731,-0.8330271709724468,0.7311182367324831,0.6462057355992847,0.177025108728397,0.7032416752919968,9.836818763989287,3.604591146476086,3,High,Good,3,High
E01002747,NA,Islington,13.325,Q1_Least,80,7.728729248,5.526733398,7.600649834,0,30.86547852,1.39465332,11.80114746,completed,measured,15160.7,6,Excellent,35.2723665295,11.4315842791584,44.02347499,-0.8569147141958358,-1.0721907464800422,0.1804443708299613,1.2907568530145304,-0.510552380171355,1.567915938160228,9.626527790112624,3.807184020194127,2,Medium,Good,3,High
E01002749,NA,Islington,22.829,Q3,100,5.798339844,3.884887695,6.339261055,0,30.45654297,0.917053223,8.540344238,completed,measured,18317.3,5,Very Good,23.304638994,29.4444928524967,36.131666010000004,-1.043598009727262,-0.15417353257689784,0.670315052012438,0.6462057355992847,1.5613527328818861,0.7414671552468125,9.815655839162595,3.6144701368295618,3,High,Good,3,High
E01002752,NA,Islington,22.426,Q3,100,16.09838867,14.99938965,14.29309654,0,47.65625,1.420593262,29.5791626,completed,measured,17971.2,4,Good,17.9873636374,11.6978058111827,25.03839607,-0.04750517219515297,-0.19310039886508903,0.616604020282965,0.0016546181840391264,-0.4799306873358936,-0.42024614314614805,9.79658139855012,3.259572220589257,3,High,Moderate,2,Medium
E01002756,NA,Islington,27.776,Q4,100,45.69036484,48.28796387,18.90888023,0,85.02807617,36.81945801,58.03222656,completed,measured,11396.4,3,Moderate,12.7306710774,25.6681776155028,22.33623949,2.8142633503920287,0.3236706548367021,-0.4037348742993546,-0.6428964992312065,1.1269882982780588,-0.7032223305376578,9.34114053819519,3.150007495197024,2,Medium,Moderate,1,Low
E01002762,NA,Islington,20.717,Q2,100,22.78686523,19.0246582,15.62756634,0,67.08984375,12.67242432,29.15802002,completed,measured,11700,6,Excellent,25.8711445698,14.9513610145199,28.33606684,0.5993212368797162,-0.35817735788870786,-0.3566193896617698,1.2907568530145304,-0.10569586379534343,-0.07490631026088132,9.367429587218957,3.378817709195663,2,Medium,Good,2,Medium
E01002763,NA,Islington,33.113,Q4,100,18.35186768,15.97595215,13.29448128,0,67.08984375,7.806396484,26.06506348,completed,measured,13191.5,6,Excellent,28.1191659019,7.2704804400285,31.54992462,0.1704233385633407,0.8391860031743579,-0.12515448407231775,1.2907568530145304,-0.9891764893837698,0.26165642934280986,9.487403765279822,3.482775052830084,2,Medium,Good,2,Medium
E01002769,NA,Islington,20.118,Q2,100,15.12530518,12.44506836,10.99415112,0.415039063,47.83935547,6.376647949,21.81091309,completed,measured,8637.8,3,Moderate,14.1900104786,6.3261968991590996,24.08286499,-0.14160972558940757,-0.4160363973592448,-0.8318401968330875,-0.6428964992312065,-1.0977911469519086,-0.5203116034358296,9.064018963263257,3.2221849432915444,1,Low,Moderate,1,Low
E01002779,NA,Islington,18.595,Q2,100,7.557678223,1.251220703,10.50876713,0,35.16235352,0.096130371,12.46643066,completed,measured,15840.9,4,Good,15.286173661,20.817365631551,29.32502053,-0.8734566455724071,-0.5631471104036986,0.286004162168845,0.0016546181840391264,0.5690316467417408,0.02865924429442304,9.670413607670001,3.4119731318290603,2,Medium,Moderate,2,Medium
